"(u'$90',)","(u'$14',)","(u'Kickboxing Elizabeth',)","(u'Up to 87% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/kickboxing-elizabeth',)","([(u'Elizabeth', u'+15164194232')],)"
"(u'$25',)","(u'$12',)","(u'Kick Fever Fitness',)","(u'Up to 56% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/kick-fever-fitness-1',)","([(u'Brooklyn', u'')],)"
"(u'$50',)","(u'$20',)","(u'Blacklight Wars',)","(u'Up to 60% off Blacklight Wars',)","(u'https://www.groupon.com/deals/gl-blacklight-wars-23',)","([],)"
"(u'$99.99',)","(u'$19.99',)","(u'ARES 500 Kickboxing & Martial Arts',)","(u'Up to 83% off Kickboxing Classes and Gloves',)","(u'https://www.groupon.com/deals/ares-500-kickboxing-martial-arts-2',)","([(u'North Side', u'')],)"
"(u'$235',)","(u'$55',)","(u'The Rock Club',)","(u'Up to 79% off Rock Climbing',)","(u'https://www.groupon.com/deals/the-rock-club-3',)","([(u'New Rochelle', u'+19146337625')],)"
"(u'$120',)","(u'$35',)","(u'Cko Kickboxing Roselle',)","(u'Up to 80% off Kickboxing Classes with Gloves',)","(u'https://www.groupon.com/deals/cko-kickboxing-roselle-1',)","([(u'Downtown Elizabeth', u'+19084864500')],)"
"(u'$50',)","(u'$29',)","(u'Goshin-Ryu Martial Arts & Fitness Studio',)","(u'Up to 54% off Kickboxing or Zumba Classes',)","(u'https://www.groupon.com/deals/goshin-ryu-martial-arts-fitness-studio-2',)","([(u'East Williamsburg', u'+17182187117')],)"
"(u'$275',)","(u'$190',)","(u'Inside The Leather',)","(u'Up to 31% off Golf Lessons',)","(u'https://www.groupon.com/deals/inside-the-leather',)","([],)"
"(u'$80',)","(u'$24.99',)","(u'CKO Kickboxing Fanwood',)","(u'Up to 69% off Kickboxing Classes and Gloves',)","(u'https://www.groupon.com/deals/cko-kickboxing-fanwood',)","([(u'Fanwood', u'+19083222530')],)"
"(u'$129',)","(u'$49',)","(u'Amerikick Martial Arts',)","(u'Up to 62% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/amerikick-martial-arts-staten-island-2',)","([(u'Staten Island', u'+17183515100'), (u'Staten Island', u'+17185240244')],)"
"(u'$150',)","(u'$49',)","(u""RJ Valentin's Deep Water Running"",)","(u'Up to 70% off Fitness Classes',)","(u'https://www.groupon.com/deals/rj-valentin-s-deep-water-running-1',)","([(u'92nd St. Y', u''), (u'John Jay College', u''), (u""St. Bartholomew's Church"", u'')],)"
"(u'$145',)","(u'$29',)","(u'UNA Brazilian Jiu Jitsu',)","(u'Up to 80% off Martial-Arts Classes',)","(u'https://www.groupon.com/deals/una-brazilian-jiu-jitsu-1',)","([(u'Forest Hills', u'+17182680044')],)"
"(u'$75',)","(u'$25',)","(u'JC Kickboxing Academy',)","(u'Up to 70% off Kickboxing or Martial Arts',)","(u'https://www.groupon.com/deals/jc-taekwondo-and-kickboxing-academy',)","([(u'Historic Downtown', u'+12013331006')],)"
